name,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Marc Nguyen,female,group B,bachelor's degree,standard,none,72,72,74
Chris Johnson,female,group C,some college,standard,completed,69,90,88
Melissa Tucker,female,group B,master's degree,standard,none,90,95,93
Troy Nguyen,male,group A,associate's degree,free/reduced,none,47,57,44
Mary Hardy,male,group C,some college,standard,none,76,78,75
Michael Young,female,group B,associate's degree,standard,none,71,83,78
Christopher Butler,female,group B,some college,standard,completed,88,95,92
Marcus Brown,male,group B,some college,free/reduced,none,40,43,39
Mr. Timothy Rodriguez,male,group D,high school,free/reduced,completed,64,64,67
Lisa Medina,female,group B,high school,free/reduced,none,38,60,50
Lisa Gonzalez DDS,male,group C,associate's degree,standard,none,58,54,52
Kenneth Jenkins,male,group D,associate's degree,standard,none,40,52,43
Christopher Collier,female,group B,high school,standard,none,65,81,73
Derek Williams,male,group A,some college,standard,completed,78,72,70
Lindsay Fisher,female,group A,master's degree,standard,none,50,53,58
Kaylee Hall,female,group C,some high school,standard,none,69,75,78
William Jenkins,male,group C,high school,standard,none,88,89,86
Derek Rose,female,group B,some high school,free/reduced,none,18,32,28
Dr. Jonathan Yang,male,group C,master's degree,free/reduced,completed,46,42,46
Kevin Gonzalez,female,group C,associate's degree,free/reduced,none,54,58,61
Randy Martin,male,group D,high school,standard,none,66,69,63
Alice Conner,female,group B,some college,free/reduced,completed,65,75,70
Frederick Hayes,male,group D,some college,standard,none,44,54,53
John Gonzalez,female,group C,some high school,standard,none,69,73,73
Eduardo Mitchell,male,group D,bachelor's degree,free/reduced,completed,74,71,80
William Harris,male,group A,master's degree,free/reduced,none,73,74,72
Annette Sims,male,group B,some college,standard,none,69,54,55
Adrian Ortega,female,group C,bachelor's degree,standard,none,67,69,75
Edgar Walker,male,group C,high school,standard,none,70,70,65
Aimee Moon,female,group D,master's degree,standard,none,62,70,75
Jeffrey Griffin,female,group D,some college,standard,none,69,74,74
Brian Beck,female,group B,some college,standard,none,63,65,61
Michelle Zimmerman,female,group E,master's degree,free/reduced,none,56,72,65
Ryan Vasquez,male,group D,some college,standard,none,40,42,38
Robert Hester,male,group E,some college,standard,none,97,87,82
Daniel Wallace,male,group E,associate's degree,standard,completed,81,81,79
Jason Serrano,female,group D,associate's degree,standard,none,74,81,83
Cynthia Anderson,female,group D,some high school,free/reduced,none,50,64,59
Andrea Melendez,female,group D,associate's degree,free/reduced,completed,75,90,88
Kevin Mata,male,group B,associate's degree,free/reduced,none,57,56,57
Allen Garcia,male,group C,associate's degree,free/reduced,none,55,61,54
Samantha Mullins,female,group C,associate's degree,standard,none,58,73,68
Patricia Ramsey,female,group B,associate's degree,standard,none,53,58,65
Cynthia Brooks,male,group B,some college,free/reduced,completed,59,65,66
Carolyn Lamb,female,group E,associate's degree,free/reduced,none,50,56,54
Michael Lewis DVM,male,group B,associate's degree,standard,none,65,54,57
Kathleen Brown DVM,female,group A,associate's degree,standard,completed,55,65,62
Kimberly Mullen,female,group C,high school,standard,none,66,71,76
Robert Smith,female,group D,associate's degree,free/reduced,completed,57,74,76
Shannon Castillo,male,group C,high school,standard,completed,82,84,82
Andrea Brown,male,group E,some college,standard,none,53,55,48
Lisa Howell,male,group E,associate's degree,free/reduced,completed,77,69,68
Edward Smith,male,group C,some college,standard,none,53,44,42
Lindsey Jones,male,group D,high school,standard,none,88,78,75
Kathleen Thompson,female,group C,some high school,free/reduced,completed,71,84,87
Cheryl Johnston,female,group C,high school,free/reduced,none,33,41,43
Mr. Steven Fowler,female,group E,associate's degree,standard,completed,82,85,86
Kevin Bridges,male,group D,associate's degree,standard,none,52,55,49
Patrick Donovan,male,group D,some college,standard,completed,58,59,58
Amy Barnes,female,group C,some high school,free/reduced,none,0,17,10
Joe Flowers,male,group E,bachelor's degree,free/reduced,completed,79,74,72
Rebecca Blackburn,male,group A,some high school,free/reduced,none,39,39,34
Samuel Moses,male,group A,associate's degree,free/reduced,none,62,61,55
Hannah Mitchell,female,group C,associate's degree,standard,none,69,80,71
Jennifer Clay,female,group D,some high school,standard,none,59,58,59
Carol Villanueva,male,group B,some high school,standard,none,67,64,61
Mary Arias,male,group D,some high school,free/reduced,none,45,37,37
Brittany Harris,female,group C,some college,standard,none,60,72,74
Laura Gibson,male,group B,associate's degree,free/reduced,none,61,58,56
Rachel Wade DVM,female,group C,associate's degree,standard,none,39,64,57
Nicole Pierce,female,group D,some college,free/reduced,completed,58,63,73
Tammy Young,male,group D,some college,standard,completed,63,55,63
Brandon Torres,female,group A,associate's degree,free/reduced,none,41,51,48
Mr. Matthew Hernandez,male,group C,some high school,free/reduced,none,61,57,56
Steve Krueger,male,group C,some high school,standard,none,49,49,41
Amanda Ford,male,group B,associate's degree,free/reduced,none,44,41,38
Mrs. Hannah Peters,male,group E,some high school,standard,none,30,26,22
Danielle Bonilla,male,group A,bachelor's degree,standard,completed,80,78,81
Raymond Collins,female,group D,some high school,standard,completed,61,74,72
Lauren Jordan,female,group E,master's degree,standard,none,62,68,68
Brian Jensen,female,group B,associate's degree,standard,none,47,49,50
Heather White,male,group B,high school,free/reduced,none,49,45,45
Jessica Lee,male,group A,some college,free/reduced,completed,50,47,54
April Nguyen,male,group E,associate's degree,standard,none,72,64,63
Joel Rivera,male,group D,high school,free/reduced,none,42,39,34
Thomas Rodriguez,female,group C,some college,standard,none,73,80,82
Brian Berry,female,group C,some college,free/reduced,none,76,83,88
Joseph Bennett,female,group D,associate's degree,standard,none,71,71,74
Kevin Harrington,female,group A,some college,standard,none,58,70,67
Sonya Moses,female,group D,some high school,standard,none,73,86,82
Jeffrey Stewart,female,group C,bachelor's degree,standard,none,65,72,74
Kevin Chaney,male,group C,high school,free/reduced,none,27,34,36
Christina Roberts,male,group C,high school,standard,none,71,79,71
Miranda Figueroa,male,group C,associate's degree,free/reduced,completed,43,45,50
Bradley Cole,female,group B,some college,standard,none,79,86,92
Katherine Henry,male,group C,associate's degree,free/reduced,completed,78,81,82
Jason Cox,male,group B,some high school,standard,completed,65,66,62
Ryan Chase,female,group E,some college,standard,completed,63,72,70
Natalie Butler,female,group D,some college,free/reduced,none,58,67,62
Stephen Watson,female,group D,bachelor's degree,standard,none,65,67,62
Kelly Cruz,male,group B,some college,standard,none,79,67,67
Tabitha Frye,male,group D,bachelor's degree,standard,completed,68,74,74
Nicholas Daniel,female,group D,associate's degree,standard,none,85,91,89
Stephanie Christensen,male,group B,high school,standard,completed,60,44,47
Sergio Patrick,male,group C,some college,standard,completed,98,86,90
Mark Bradshaw,female,group C,some college,standard,none,58,67,72
James Merritt,female,group D,master's degree,standard,none,87,100,100
Kyle Delgado,male,group E,associate's degree,standard,completed,66,63,64
Jacob Harris,female,group B,associate's degree,free/reduced,none,52,76,70
Brian Bautista,female,group B,some high school,standard,none,70,64,72
Kimberly Smith,female,group D,associate's degree,free/reduced,completed,77,89,98
Larry Wright,male,group C,high school,standard,none,62,55,49
Vanessa Carlson,male,group A,associate's degree,standard,none,54,53,47
David Webb,female,group D,some college,standard,none,51,58,54
